order_id,customer_id,order_date
1,92,2025-05-29
2,24,2025-01-23
3,31,2025-09-29
4,1,2025-03-07
5,21,2025-01-28
6,60,2025-10-15
7,20,2025-04-21
8,31,2025-10-26
9,48,2025-04-17
10,96,2025-07-21
11,94,2025-05-16
12,24,2025-06-08
13,66,2025-07-13
14,89,2025-03-10
15,73,2025-01-14
16,37,2025-05-16
17,61,2025-11-01
18,53,2025-04-12
19,1,2025-09-23
20,96,2025-09-09
21,34,2025-02-05
22,62,2025-05-28
23,80,2025-02-05
24,25,2025-06-19
25,31,2025-10-18
26,23,2025-08-27
27,76,2025-08-23
28,26,2025-09-17
29,2,2025-02-05
30,57,2025-07-22
31,63,2025-03-04
32,72,2025-07-13
33,19,2025-02-07
34,92,2025-01-27
35,66,2025-08-08
36,72,2025-05-22
37,8,2025-02-28
38,30,2025-03-12
39,91,2025-08-17
40,44,2025-05-06
41,90,2025-10-03
42,52,2025-01-07
43,75,2025-09-14
44,25,2025-10-01
45,64,2025-01-11
46,41,2025-02-05
47,28,2025-09-16
48,12,2025-01-14
49,3,2025-01-11
50,75,2025-01-07
51,33,2025-10-27
52,15,2025-01-08
53,79,2025-02-06
54,97,2025-06-09
55,8,2025-11-05
56,64,2025-08-10
57,100,2025-09-02
58,28,2025-02-24
59,83,2025-05-10
60,63,2025-08-08
61,60,2025-03-23
62,67,2025-08-13
63,65,2025-03-04
64,78,2025-10-25
65,64,2025-01-30
66,49,2025-01-05
67,95,2025-03-31
68,24,2025-05-26
69,79,2025-09-27
70,48,2025-02-22
71,99,2025-07-10
72,41,2025-11-08
73,5,2025-06-19
74,49,2025-03-27
75,99,2025-02-04
76,36,2025-10-26
77,75,2025-05-20
78,97,2025-01-14
79,26,2025-08-29
80,14,2025-05-07
81,30,2025-03-05
82,35,2025-09-02
83,48,2025-05-29
84,1,2025-07-17
85,60,2025-06-12
86,17,2025-10-19
87,96,2025-02-25
88,52,2025-11-12
89,24,2025-06-22
90,87,2025-08-26
91,80,2025-08-07
92,53,2025-02-22
93,33,2025-11-04
94,76,2025-06-10
95,99,2025-10-05
96,65,2025-01-06
97,50,2025-10-02
98,28,2025-05-09
99,88,2025-02-28
100,78,2025-03-08
101,59,2025-07-13
102,76,2025-11-01
103,60,2025-10-26
104,75,2025-05-08
105,80,2025-09-26
106,37,2025-06-30
107,27,2025-03-02
108,50,2025-09-26
109,10,2025-06-19
110,55,2025-10-18
111,17,2025-09-16
112,24,2025-04-13
113,17,2025-03-27
114,11,2025-08-05
115,4,2025-11-14
116,83,2025-06-11
117,82,2025-04-01
118,17,2025-10-27
119,78,2025-08-13
120,67,2025-11-08
121,30,2025-09-24
122,39,2025-04-08
123,71,2025-03-25
124,21,2025-08-12
125,41,2025-07-24
126,14,2025-03-22
127,9,2025-06-08
128,44,2025-07-24
129,50,2025-04-18
130,3,2025-01-31
131,44,2025-06-10
132,22,2025-06-04
133,54,2025-07-31
134,64,2025-04-23
135,99,2025-07-04
136,39,2025-09-25
137,47,2025-01-09
138,4,2025-01-22
139,41,2025-07-17
140,69,2025-04-12
141,54,2025-01-10
142,31,2025-02-02
143,25,2025-05-23
144,84,2025-06-05
145,65,2025-06-11
146,27,2025-01-03
147,92,2025-03-07
148,46,2025-02-15
149,15,2025-05-21
150,67,2025-03-06
151,73,2025-06-19
152,40,2025-01-16
153,38,2025-01-19
154,41,2025-08-31
155,98,2025-01-12
156,90,2025-01-14
157,18,2025-05-18
158,19,2025-01-18
159,52,2025-09-16
160,65,2025-07-28
161,72,2025-09-25
162,21,2025-06-15
163,83,2025-07-09
164,40,2025-04-12
165,84,2025-01-30
166,44,2025-05-14
167,31,2025-03-14
168,80,2025-05-18
169,9,2025-08-06
170,36,2025-03-12
171,28,2025-03-09
172,42,2025-03-13
173,45,2025-04-05
174,8,2025-05-18
175,10,2025-05-21
176,30,2025-04-05
177,45,2025-11-03
178,55,2025-08-05
179,24,2025-07-10
180,24,2025-05-04
181,91,2025-01-19
182,86,2025-10-06
183,91,2025-03-24
184,47,2025-07-29
185,42,2025-07-16
186,22,2025-10-21
187,38,2025-04-16
188,62,2025-08-15
189,39,2025-02-05
190,53,2025-06-05
191,20,2025-09-26
192,39,2025-04-28
193,96,2025-09-24
194,13,2025-03-16
195,39,2025-03-31
196,70,2025-10-15
197,37,2025-03-01
198,21,2025-10-12
199,26,2025-01-25
200,8,2025-02-05
